,愉悦,悲伤,愤怒,惊讶,厌恶,蔑视,恐惧,害羞,绝望,愧疚
畏怯,0,0,0,0,0,0,1,0,0,0
心惊胆战,0,0,0,0.5,0,0,0.5,0,0,0
心惊肉跳,0,0,0,0.5,0,0,0.5,0,0,0
倾慕,0.2,0,0,0,0,0,0,0,0,0
抱恨,0,0,0.4,0,0.3,0,0,0,0,0
可憎,0,0,0.3,0,0.3,0,0,0,0,0
痛恨,0,0,0.8,0,0.3,0,0,0,0,0
痛恶,0,0,0.9,0,0.2,0,0,0,0,0
嫌怨,0,0,0.2,0,0.1,0.7,0,0,0,0
嫌恶,0,0,0.1,0,0.1,0.8,0,0,0,0
嫌隙,0,0,0.1,0,0.1,0.6,0,0,0,0
嫌憎,0,0,0.1,0,0.7,0,0,0,0,0
憎恶,0,0,0.2,0,0.9,0,0,0,0,0
憋闷,0,0,0.2,0,0,0,0,0,0,0
憋气,0,0.1,0.3,0,0,0,0,0,0,0
涔涔,0,0.8,0,0,0,0,0,0,0.2,0
烦扰,0,0,0.6,0,0.4,0,0,0,0,0.3
糟心,0,0.5,0.3,0,0,0,0,0,0,0.2
愁闷,0,0.8,0,0,0,0,0,0,0.15,0
穷愁,0,0.9,0,0,0,0,0,0,0.05,0
殷忧,0,0.3,0,0,0,0,0,0,0.3,0.4
沉郁,0,0.4,0,0,0,0,0,0,0.3,0.2
阴郁,0,0.3,0,0,0,0,0,0,0.2,0
自惭形秽,0,0.2,0,0,0,0,0,0,0,0.97
自馁,0,0.3,0.05,0,0,0,0,0,0,0
怏然自足,0.3,0.1,0,0,0,0,0,0,0,0
自得,0.8,0,0,0,0,0,0,0,0,0
自满,0.9,0,0,0,0,0,0,0,0,0
自恃,0.3,0,0,0,0,0,0,0,0,0
焦躁,0,0,0.3,0,0,0,0,0,0.1,0.1
情急,0,0.1,0.4,0,0,0,0.3,0,0,0
心焦,0,0.2,0.3,0,0,0,0,0,0,0
烦乱,0,0.2,0.3,0,0.5,0,0,0,0,0
纷扰,0,0,0.5,0,0,0,0,0,0,0
如坐针毡,0,0,0,0,0,0,0,0,0.3,0
忐忑不安,0,0,0,0,0,0,0,0,0.5,0
抱愧,0,0.1,0,0,0,0,0,0.05,0,1
愧恨,0,0.1,0,0,0,0,0,0.05,0,0.93
无地自容,0,0.1,0,0,0,0,0,0.8,0,0
羞人,0,0.3,0,0,0,0,0,0.98,0,0
羞涩,0.1,0,0,0,0,0,0,1,0,0
悔恨,0,0.7,0,0,0.3,0,0,0,0,0.6
失悔,0,0.7,0,0,0,0,0,0,0,0.3
痛悔,0,1,0,0,0,0,0,0,0,0.8
追悔,0,0.2,0,0,0,0,0,0,0.2,1
自怨自艾,0,0,0,0,0,0,0,0,0.3,0
歉疚,0,0.2,0,0,0,0,0,0,0,1
诧异,0,0,0,0.8,0,0,0.2,0,0,0
愕然,0,0,0,0.8,0,0,0,0,0,0
惊诧,0,0,0.1,0.9,0.1,0,0.4,0,0,0
惊异,0,0,0,0.9,0.3,0,0,0.1,0,0
崇敬,0.4,0,0,0,0,0,0,0,0,0
景仰,0.5,0,0,0,0,0,0,0,0,0
敬慕,0.5,0,0,0,0,0,0,0,0,0
钦敬,0.5,0,0,0,0,0,0,0,0,0
心悦诚服,0.5,0,0,0,0,0,0,0,0,0
悦服,0.5,0,0,0,0,0,0,0,0,0
尊崇,0.4,0,0,0,0,0,0,0,0,0
赞佩,0.4,0,0,0,0,0,0,0,0,0
迷惑,0,0,0,0.4,0,0,0,0,0,0
迷惘,0,0,0,0.3,0,0,0,0,0,0
彷徨,0,0.2,0,0,0,0,0.2,0,0,0
疑忌,0,0.02,0,0,0.5,0,0.6,0,0,0
哀怜,0,0.8,0,0,0,0,0,0,0,0
怜悯,0,0.3,0,0,0,0,0,0,0,0
怜惜,0,0.1,0,0,0,0,0,0,0,0
痛惜,0,0.7,0,0,0,0,0,0,0,0.45
挂念,0,0.3,0,0,0,0,0,0,0,0
牵肠挂肚,0,0.5,0,0,0,0,0,0,0,0
眷恋,0.3,0.4,0,0,0,0,0,0,0,0
渴慕,0,0.1,0,0,0,0,0,0,0,0
贪恋,0,0.1,0,0,0,0,0,0,0,0
鄙视,0,0.1,0,0,0.7,0.9,0,0,0,0
鄙夷,0,0,0,0,0.8,0.9,0,0,0,0
侮蔑,0,0,0,0,0.9,0.9,0,0,0,0
可人,0.6,0,0,0,0,0,0,0.4,0,0
惬意,0.8,0,0,0,0,0,0,0,0,0
遂心,0.9,0,0,0,0,0,0,0,0,0
遂意,0.8,0,0,0,0,0,0,0,0,0
遂愿,0.8,0,0,0,0,0,0,0,0,0
宜人,0.6,0,0,0,0,0,0,0,0,0
期求,0.7,0,0,0,0,0,0,0,0,0
望穿秋水,0,0.6,0,0,0,0,0,0,0,0
殷切,0.2,0.2,0,0,0,0,0,0,0,0
失意,0,0.8,0,0,0,0,0,0,0.9,0
懊丧,0,0.7,0,0,0,0,0,0,0.6,0
抱憾,0,0.7,0,0,0,0,0,0,0.3,0
惆怅,0,0.6,0,0,0,0,0,0,0,0.12
落魄,0,0.9,0,0,0,0,0,0,0.9,0
惘然,0,0.6,0,0,0,0,0,0,0.1,0
孤寂,0,0.5,0,0,0,0,0,0,0.3,0
哀思,0,0.6,0,0,0,0,0,0,0.4,0
哀怨,0,0.6,0,0,0,0,0,0,0.6,0
悲愤,0,0.6,0.3,0,0,0,0,0,0.1,0
悲郁,0,0.6,0,0,0,0,0,0,0.8,0
怅恨,0,0.7,0,0,0,0,0,0,0.9,0
怅惘,0,0.7,0,0,0,0,0,0,0.2,0
愁苦,0,0.7,0,0,0,0,0,0,0.4,0
仇怨,0,0.7,0.5,0,0,0,0,0,0.1,0
愤恨,7,0.7,0.5,0,0,0,0,0,0.1,0
感愤,0,0.7,0.4,0,0,0,0,0,0,0
戒惧,0,0.3,0,0,0,0,0.9,0,0,0
惊疑,0,0,0,0,0,0,0.6,0,0,0
敬畏,0.1,0,0,0,0,0,0.1,0,0,0
快慰,0.6,0,0,0,0,0,0,0,0,0
愧痛,0,0.6,0,0,0,0,0,0,0.3,0.93
闷倦,0,0,0,0,0.3,0,0,0,0,0
恼恨,0,0.5,0,0,0.2,0,0,0,0,0
恼人,0,0.5,0,0,0.1,0,0,0,0.1,0
虔诚,0.3,0,0,0,0,0,0,0,0,0
清爽,0.4,0,0,0,0,0,0,0,0,0
危惧,0,0,0,0,0.3,0,0,0,0.1,0
衔恨,0,0.3,0.3,0,0,0,0,0,0,0
欣幸,0.4,0,0,0,0,0,0,0,0,0
羞愤,0,0.4,0,0,0,0,0,0,0,0
疑惧,0,0,0,0.3,0,0,0.1,0,0,0
疑虑,0,0,0,0.3,0,0,0,0,0,0
忧烦,0,0.4,0.2,0,0.3,0,0,0,0,0
忧愤,0,0.4,0.7,0,0,0,0,0,0,0
忧惧,0,0.3,0,0,0,0,0.5,0,0,0
忧闷,0,0.5,0,0,0,0,0,0,0,0
怨愤,0,0.5,0,0,0.4,0,0,0,0,0
厌弃,0,0,0,0,0.8,0,0,0,0,0
宽慰,0.1,0,0,0,0,0,0,0,0.3,0
索然无味,0,0,0,0,0.1,0.4,0,0,0,0
泰然,0.3,0,0,0,0,0,0,0,0,0
闲适,0.2,0,0,0,0,0,0,0,0,0
自在,0.4,0,0,0,0,0,0,0,0,0
激昂,0.4,0,0,0,0,0,0,0,0,0
激奋,0.3,0,0,0,0,0,0,0,0,0
吐气,0.7,0,0,0,0,0,0,0,0,0
激越,0.5,0,0,0,0,0,0,0,0,0
亢奋,0.5,0,0,0,0,0,0,0,0,0
忘情,0.8,0,0,0,0,0,0,0,0,0
颓废,0,0.7,0,0,0,0,0,0.97,0,0
颓靡,0,0.79,0,0,0,0,0,0.93,0,0
颓丧,0,0.73,0,0,0,0,0,0.98,0,0
颓唐,0,0.81,0,0,0,0,0,0.9,0,0
委靡,0,0.4,0,0,0,0,0,0.89,0,0
解恨,0.6,0,0,0,0,0,0,0,0,0
宽心,0.3,0,0,0,0,0,0,0,0,0
如释重负,0.33,0,0,0,0,0,0,0,0,0
怒火中烧,0,0,0.98,0,0,0,0,0,0,0
火冒三丈,0,0,0.93,0,0,0,0,0,0,0
赫然而怒,0,0,0.9333,0,0,0,0,0,0,0
怒不可遏,0,0,0.99,0,0,0,0,0,0,0
勃然大怒,0,0,0.956,0,0,0,0,0,0,0
大发雷霆,0,0,0.9067,0,0,0,0,0,0,0
暴跳如雷,0,0,0.93444,0,0,0,0,0,0,0
怒气冲天,0,0,0.914,0,0,0,0,0,0,0
令人发指,0,0,0.877,0.344,0,0,0,0,0,0
发指眦裂,0,0,0.788,0.199,0,0,0,0,0,0
怒发冲冠,0,0,0.945,0,0,0,0,0,0,0
气冲牛斗,0.677,0,0,0,0,0,0,0,0,0
义愤填膺,0,0,0.777,0,0,0,0,0,0,0
悲愤填膺,0,0,0.877,0,0,0,0,0,0,0
人神共愤,0,0,0.9,0,0,0,0,0,0,0
天怒人怨,0,0,0.9,0,0,0,0,0,0,0
忽忽不乐,0,0.7,0,0,0,0,0,0,0,0
惘然若失,0,0.68,0,0,0,0,0,0,0,0
若有所失,0,0.73,0,0,0,0,0,0,0,0
怅然若失,0,0.6,0,0,0,0,0,0,0,0
嗒然若失,0,0.78,0,0,0,0,0,0,0,0
冷水浇头,0,0.83,0,0,0,0,0,0.34,0,0
心灰意懒,0,0.57,0,0,0,0,0,0.66,0,0
灰心丧气,0,0.78,0,0,0,0,0,0.56,0,0
垂头丧气,0,0.56,0,0,0,0,0,0.667,0,0
心如死灰,0,0.9,0,0,0,0,0,0.89,0,0
槁木死灰,0,0.98,0,0,0,0,0,0.89,0,0
万念俱灰,0,0.999,0,0,0,0,0,0.999,0,0
黯然,0,0.6,0,0,0,0,0,0.89,0,0
感伤,0,0.78,0,0,0,0,0,0,0,0
颓丧,0,0.56,0,0,0,0,0,0.678,0,0
颓废,0,0.3456,0,0,0,0,0,0.77,0,0
颓败,0,0.34,0,0,0,0,0,0.6887,0,0
颓靡,0,0.556,0,0,0,0,0,0.89,0,0
颓然,0,0.777,0,0,0,0,0,0.78,0,0
颓唐,0,0.56,0,0,0,0,0,0.78,0,0
委靡,0,0.5667,0,0,0,0,0,0.78,0,0
郎当,0,0.7,0,0,0,0,0,0,0,0
夜不成寐,0,0.45,0,0,0,0,0,0.455,0,0
魂不附体,0,0.56,0,0,0,0,0,0,0,0
心事重重,0,0.78,0,0,0,0,0,0,0,0
羞愧,0,0.67,0,0,0,0,0,0.145,0,0.46
心慌意乱,0,0.2,0,0,0,0,0,0,0,0
心乱如麻,0,0.6,0,0,0,0,0.44,0,0,0
不好意思,0,0.008,0,0,0,0,0.78,0,0,0
抱歉,0,0.155,0,0,0,0,0.65,0,0.89,0
